"SITE_ID","SITE_NAME","DATA_SOURCE","DATA_USE","LOCATION_LAT","LOCATION_LONG","ELEV_M","IGBP","PET_sum","PPT_sum","TC_aridity"
"US-Twt","Twitchell Island","FLUXNET2015","CC-BY-4.0",38.1087,-121.6531,-7,"CRO",1312.7,377.1,0.287270511160204
"US-UMB","Univ. of Mich. Biological Station","FLUXNET2015","CC-BY-4.0",45.5598,-84.7138,234,"DBF",708.4,810.4,1.14398644833427
"US-UMd","UMBS Disturbance","FLUXNET2015","CC-BY-4.0",45.5625,-84.6975,239,"DBF",710,797.7,1.12352112676056
"US-Var","Vaira Ranch- Ione","FLUXNET2015","CC-BY-4.0",38.4133,-120.9508,129,"GRA",1407.9,645.4,0.458413239576674
"US-WCr","Willow Creek","FLUXNET2015","CC-BY-4.0",45.8059,-90.0799,520,"DBF",634.4,815.5,1.28546658259773
"US-WPT","Winous Point North Marsh","FLUXNET2015","CC-BY-4.0",41.4646,-82.9962,175,"WET",875.6,902,1.03015075376884
"US-Whs","Walnut Gulch Lucky Hills Shrub","FLUXNET2015","CC-BY-4.0",31.7438,-110.0522,1370,"OSH",1751,352.2,0.201142204454597
"US-Wi0","Young red pine (YRP)","FLUXNET2015","CC-BY-4.0",46.6188,-91.0814,349,"ENF",661.3,785.2,1.18735823378194
"US-Wi1","Intermediate hardwood (IHW)","FLUXNET2015","CC-BY-4.0",46.7305,-91.2329,352,"DBF",656.3,781.6,1.19091878714003
"US-Wi2","Intermediate red pine (IRP)","FLUXNET2015","CC-BY-4.0",46.6869,-91.1528,395,"ENF",648.6,799.1,1.23203823620105
"US-Wi3","Mature hardwood (MHW)","FLUXNET2015","CC-BY-4.0",46.6347,-91.0987,411,"DBF",650.9,795.6,1.22230757412813
"US-Wi4","Mature red pine (MRP)","FLUXNET2015","CC-BY-4.0",46.7393,-91.1663,352,"ENF",647.9,786.7,1.21423059114061
"US-Wi5","Mixed young jack pine (MYJP)","FLUXNET2015","CC-BY-4.0",46.6531,-91.0858,353,"ENF",650.9,795.6,1.22230757412813
"US-Wi6","Pine barrens #1 (PB1)","FLUXNET2015","CC-BY-4.0",46.6249,-91.2982,371,"OSH",665.6,791.9,1.18975360576923
"US-Wi7","Red pine clearcut (RPCC)","FLUXNET2015","CC-BY-4.0",46.6491,-91.0693,335,"OSH",655.5,790.3,1.20564454614798
"US-Wi8","Young hardwood clearcut (YHW)","FLUXNET2015","CC-BY-4.0",46.7223,-91.2524,348,"DBF",658.4,779.9,1.1845382746051
"US-Wi9","Young Jack pine (YJP)","FLUXNET2015","CC-BY-4.0",46.7385,-91.0746,350,"ENF",652.8,794,1.21629901960784
"US-Wkg","Walnut Gulch Kendall Grasslands","FLUXNET2015","CC-BY-4.0",31.7365,-109.9419,1531,"GRA",1744.3,401.1,0.229948976666858
"ZA-Kru","Skukuza","FLUXNET2015","Tier 2",-25.0197,31.4969,359,"SAV",1329.9,594.1,0.44672531769306
"ZM-Mon","Mongu","FLUXNET2015","CC-BY-4.0",-15.4391,23.2525,1053,"DBF",1735.8,864.6,0.498098859315589
"AT-Neu","Neustift","FLUXNET-CH4","CC-BY-4.0",47.1167,11.3175,970,"GRA",580.6,1000.3,1.72287289011368
"BR-Npw","Northern Pantanal Wetland","FLUXNET-CH4","CC-BY-4.0",-16.498,-56.412,120,"WSA",1297.7,1322.5,1.0191107343762
"BW-Gum","Guma","FLUXNET-CH4","CC-BY-4.0",-18.9647,22.3711,950,"WET",1903.7,447.9,0.23527866785733
"BW-Nxr","Nxaraga","FLUXNET-CH4","CC-BY-4.0",-19.5481,23.1792,950,"GRA",1943.3,418.3,0.215252405701642
"CA-SCB","Scotty Creek Bog","FLUXNET-CH4","CC-BY-4.0",61.3089,-121.2984,280,"WET",471.4,430,0.912176495545185
"CA-SCC","Scotty Creek Landscape","FLUXNET-CH4","CC-BY-4.0",61.3079,-121.2992,285,"ENF",471.4,430,0.912176495545185
"CH-Cha","Chamau","FLUXNET-CH4","CC-BY-4.0",47.2102,8.4104,393,"GRA",678.6,1208.7,1.78116710875332
"CH-Dav","Davos","FLUXNET-CH4","CC-BY-4.0",46.8153,9.8559,1639,"ENF",504.1,1093.9,2.17000595120016
"CH-Oe2","Oensingen crop","FLUXNET-CH4","CC-BY-4.0",47.2864,7.7337,452,"CRO",680.9,1151.7,1.69143780290792
"CN-Hgu","Hongyuan","FLUXNET-CH4","CC-BY-4.0",32.8453,102.59,3500,"GRA",620,696.5,1.12338709677419
"DE-Dgw","Dagowsee","FLUXNET-CH4","CC-BY-4.0",53.1514,13.0543,60,"WAT",636.2,591.8,0.930210625589437
"DE-Hte","Huetelmoor","FLUXNET-CH4","CC-BY-4.0",54.2103,12.1761,0.2,"WET",597.2,608,1.01808439383791
"DE-SfN","Schechenfilz Nord","FLUXNET-CH4","CC-BY-4.0",47.8064,11.3275,590,"WET",675.3,1104.9,1.63616170590849
"DE-Zrk","Zarnekow","FLUXNET-CH4","CC-BY-4.0",53.8759,12.889,0,"WET",614.9,620.9,1.00975768417629
"FI-Hyy","Hyytiala","FLUXNET-CH4","CC-BY-4.0",61.8474,24.2948,181,"ENF",447.4,676.6,1.51229324988824
"FI-Lom","Lompolojankka","FLUXNET-CH4","CC-BY-4.0",67.9972,24.2092,274,"WET",306.2,551,1.79947746570869
"FI-Si2","Siikaneva-2 Bog","FLUXNET-CH4","CC-BY-4.0",61.8372,24.1967,160,"WET",452.5,673.7,1.48883977900552
"FI-Sii","Siikaneva","FLUXNET-CH4","CC-BY-4.0",61.8327,24.1928,160,"WET",448.2,678.9,1.51472556894244
"FR-LGt","La Guette","FLUXNET-CH4","CC-BY-4.0",47.3229,2.2841,NA,"WET",828.6,709.1,0.855780835143616
"HK-MPM","Mai Po Mangrove","FLUXNET-CH4","CC-BY-4.0",22.4982,114.0292,-1,"EBF",1248.8,1854.9,1.48534593209481
"ID-Pag","Palangkaraya undrained forest","FLUXNET-CH4","CC-BY-4.0",-2.32,113.9,30,"EBF",1325.6,2388.6,1.80190102595051
"IT-BCi","Borgo Cioffi","FLUXNET-CH4","CC-BY-4.0",40.5237,14.9574,20,"CRO",1046.2,1047.4,1.00114700822023
"IT-Cas","Castellaro","FLUXNET-CH4","CC-BY-4.0",45.07,8.7175,89,"CRO",786.8,715,0.908744280630402
"JP-BBY","Bibai bog","FLUXNET-CH4","CC-BY-4.0",43.323,141.8107,NA,"WET",605.5,1128.5,1.86374896779521
"JP-Mse","Mase rice paddy field","FLUXNET-CH4","CC-BY-4.0",36.0539,140.0269,NA,"CRO",944.5,1353.4,1.43292747485442
"JP-SwL","Suwa Lake","FLUXNET-CH4","CC-BY-4.0",36.0466,138.1084,NA,"WAT",794.8,1191.7,1.49937091092099
"KR-CRK","Cheorwon Rice paddy","FLUXNET-CH4","CC-BY-4.0",38.2013,127.2506,182,"CRO",713.9,1289,1.80557501050567
"MY-MLM","Maludam National Park","FLUXNET-CH4","CC-BY-4.0",1.4536,111.1495,NA,"EBF",1263.6,3475.8,2.75071225071225
"NL-Hor","Horstermeer","FLUXNET-CH4","CC-BY-4.0",52.2403,5.0713,2.2,"GRA",638.1,865.8,1.35684062059238
"NZ-Kop","Kopuatai","FLUXNET-CH4","CC-BY-4.0",-37.3879,175.5539,NA,"EBF",932,1299.9,1.39474248927039
"PH-RiF","Philippines Rice Institute flooded","FLUXNET-CH4","CC-BY-4.0",14.1412,121.2653,27,"CRO",1276.6,2002.7,1.56877643741188
"RU-Ch2","Chersky reference","FLUXNET-CH4","CC-BY-4.0",68.6169,161.3509,4,"WET",355.8,175.6,0.493535694210231
"RU-Che","Cherski","FLUXNET-CH4","CC-BY-4.0",68.613,161.3414,6,"WET",355.8,175.6,0.493535694210231
"RU-Cok","Chokurdakh","FLUXNET-CH4","CC-BY-4.0",70.8291,147.4943,48,"OSH",228.3,199.7,0.874726237406921
"RU-Fy2","Fyodorovskoye dry spruce","FLUXNET-CH4","CC-BY-4.0",56.4476,32.9019,NA,"ENF",518.1,715.2,1.38042848870874
"RU-Vrk","Seida/Vorkuta","FLUXNET-CH4","Tier 2",67.0547,62.9405,100,"CSH",300.3,568.1,1.89177489177489
"SE-Deg","Degero","FLUXNET-CH4","CC-BY-4.0",64.182,19.5565,270,"GRA",403.5,627.6,1.55539033457249
"SE-St1","Stordalen grassland","FLUXNET-CH4","Tier 2",68.3541,19.0503,351,"WET",316.1,391.8,1.23948117684277
"UK-LBT","London_BT","FLUXNET-CH4","CC-BY-4.0",51.5215,-0.1389,21,"URB",741.9,657.5,0.886238037471357
"US-A03","ARM-AMF3-Oliktok","FLUXNET-CH4","CC-BY-4.0",70.4953,-149.8823,5,"BSV",144.8,142.9,0.986878453038674
"US-A10","ARM-NSA-Barrow","FLUXNET-CH4","CC-BY-4.0",71.3242,-156.6149,4,"BSV",119.7,115.9,0.968253968253968
"US-Atq","Atqasuk","FLUXNET-CH4","CC-BY-4.0",70.4696,-157.4089,15,"WET",206.6,144.4,0.698935140367861
"US-BZB","Bonanza Creek Thermokarst Bog","FLUXNET-CH4","CC-BY-4.0",64.6955,-148.3208,100,"WET",426.7,290,0.679634403562222
"US-BZF","Bonanza Creek Rich Fen","FLUXNET-CH4","CC-BY-4.0",64.7013,-148.3121,95,"WET",426.7,290,0.679634403562222
"US-BZS","Bonanza Creek Black Spruce","FLUXNET-CH4","CC-BY-4.0",64.6963,-148.3235,100,"ENF",426.7,290,0.679634403562222
"US-Beo","Barrow Environmental Observatory (BEO) tower","FLUXNET-CH4","CC-BY-4.0",71.281,-156.6123,NA,"WET",136.7,118,0.863204096561814
"US-Bes","Barrow-Bes (Biocomplexity Experiment South tower)","FLUXNET-CH4","CC-BY-4.0",71.2809,-156.5965,4.6,"WET",136.7,118,0.863204096561814
"US-Bi1","Bouldin Island Alfalfa","FLUXNET-CH4","CC-BY-4.0",38.0992,-121.4993,-2.7,"CRO",1315.2,392.8,0.298661800486618
"US-Bi2","Bouldin Island corn","FLUXNET-CH4","CC-BY-4.0",38.1091,-121.5351,-5,"CRO",1315.1,386.1,0.293589841076724
"US-CRT","Curtice Walter-Berger cropland","FLUXNET-CH4","CC-BY-4.0",41.6285,-83.3471,180,"CRO",866.1,872.4,1.00727398683755
"US-DPW","Disney Wilderness Preserve Wetland","FLUXNET-CH4","CC-BY-4.0",28.0521,-81.4361,23,"WET",1430.8,1233.6,0.862175006989097
"US-EDN","Eden Landing Ecological Reserve","FLUXNET-CH4","CC-BY-4.0",37.6156,-122.114,NA,"WET",1180.2,406.5,0.34443314692425
"US-EML","Eight Mile Lake Permafrost thaw gradient, Healy Alaska.","FLUXNET-CH4","CC-BY-4.0",63.8784,-149.2536,700,"OSH",370.6,421.5,1.13734484619536
"US-HRA","Humnoke Farm Rice Field – Field A","FLUXNET-CH4","CC-BY-4.0",34.5852,-91.7517,NA,"CRO",1216.2,1275.6,1.04884065120868
"US-HRC","Humnoke Farm Rice Field – Field C","FLUXNET-CH4","CC-BY-4.0",34.5888,-91.7517,NA,"CRO",1216.2,1275.6,1.04884065120868
"US-Ho1","Howland Forest (main tower)","FLUXNET-CH4","CC-BY-4.0",45.2041,-68.7402,60,"ENF",666,1091,1.63813813813814
"US-ICs","Imnavait Creek Watershed Wet Sedge Tundra","FLUXNET-CH4","CC-BY-4.0",68.6058,-149.311,920,"WET",277.3,193.3,0.697078975838442
"US-Ivo","Ivotuk","FLUXNET-CH4","CC-BY-4.0",68.4865,-155.7503,568,"WET",272.4,259.5,0.952643171806168
"US-LA1","Pointe-aux-Chenes Brackish Marsh","FLUXNET-CH4","CC-BY-4.0",29.5013,-90.4449,0,"WET",1268.9,1568,1.23571597446607
"US-LA2","Salvador WMA Freshwater Marsh","FLUXNET-CH4","CC-BY-4.0",29.8587,-90.2869,0,"WET",1247.4,1577.7,1.26479076479076
"US-Los","Lost Creek","FLUXNET-CH4","CC-BY-4.0",46.0827,-89.9792,480,"WET",631.6,829.3,1.31301456618113
"US-MAC","MacArthur Agro-Ecology","FLUXNET-CH4","CC-BY-4.0",27.1632,-81.1873,NA,"WET",1445.2,1222.2,0.845696097425962
"US-MRM","Marsh Resource Meadowlands Mitigation Bank","FLUXNET-CH4","CC-BY-4.0",40.8164,-74.0435,1,"WET",1015.6,1204.9,1.18639228042536
"US-Myb","Mayberry Wetland","FLUXNET-CH4","CC-BY-4.0",38.0499,-121.765,-4,"WET",1327.9,362.9,0.273288651253859
"US-NC4","NC_AlligatorRiver","FLUXNET-CH4","CC-BY-4.0",35.7879,-75.9038,1,"WET",1176.6,1322.4,1.12391636919939
"US-NGB","NGEE Arctic Barrow","FLUXNET-CH4","CC-BY-4.0",71.28,-156.6092,5.273,"SNO",136.7,118,0.863204096561814
"US-NGC","NGEE Arctic Council","FLUXNET-CH4","CC-BY-4.0",64.8618,-163.7002,35,"GRA",304.9,427.1,1.40078714332568
"US-ORv","Olentangy River Wetland Research Park","FLUXNET-CH4","CC-BY-4.0",40.0201,-83.0183,221,"WET",907.5,968.5,1.06721763085399
"US-OWC","Old Woman Creek","FLUXNET-CH4","CC-BY-4.0",41.3795,-82.5125,174,"WET",876.7,921.8,1.05144291091593
"US-PFa","Park Falls/WLEF","FLUXNET-CH4","CC-BY-4.0",45.9459,-90.2723,470,"MF",638.6,822.6,1.28813028499843
"US-Snd","Sherman Island","FLUXNET-CH4","CC-BY-4.0",38.0366,-121.754,-5,"GRA",1341.1,346.8,0.258593691745582
"US-Sne","Sherman Island Restored Wetland","FLUXNET-CH4","CC-BY-4.0",38.0369,-121.7547,-5,"GRA",1341.1,346.8,0.258593691745582
"US-Srr","Suisun marsh - Rush Ranch","FLUXNET-CH4","CC-BY-4.0",38.2006,-122.0264,8,"WET",1336.5,543,0.40628507295174
"US-StJ","St Jones Reserve","FLUXNET-CH4","CC-BY-4.0",39.0882,-75.4372,6.7,"WET",1053.8,1130,1.07230973619283
"US-Tw1","Twitchell Wetland West Pond","FLUXNET-CH4","CC-BY-4.0",38.1074,-121.6469,-5,"WET",1312.7,377.1,0.287270511160204
"US-Tw3","Twitchell Alfalfa","FLUXNET-CH4","CC-BY-4.0",38.1152,-121.6469,-4,"CRO",1312.7,377.1,0.287270511160204
"US-Tw4","Twitchell East End Wetland","FLUXNET-CH4","CC-BY-4.0",38.1027,-121.6413,-5,"WET",1312.7,377.1,0.287270511160204
"US-Tw5","East Pond Wetland","FLUXNET-CH4","CC-BY-4.0",38.1072,-121.6426,-5,"WET",1312.7,377.1,0.287270511160204
"US-Twt","Twitchell Island","FLUXNET-CH4","CC-BY-4.0",38.1087,-121.6531,-7,"CRO",1312.7,377.1,0.287270511160204
"US-Uaf","University of Alaska, Fairbanks","FLUXNET-CH4","CC-BY-4.0",64.8663,-147.8555,155,"ENF",433.1,293.5,0.677672592934657
"US-WPT","Winous Point North Marsh","FLUXNET-CH4","CC-BY-4.0",41.4646,-82.9962,175,"WET",875.6,902,1.03015075376884
"AR-CCa","Carlos Casares agriculture","AmeriFlux","Legacy",-35.621,-61.3181,83,"CRO",1228.9,1021.1,0.830905688013671
"AR-CCg","Carlos Casares grassland","AmeriFlux","Legacy",-35.9244,-61.1855,84,"GRA",1231,1008.2,0.819008935824533
"AR-TF1","Rio Moat bog","AmeriFlux","CC-BY-4.0",-54.9733,-66.7335,40,"WET",522.2,620.4,1.18805055534278
"AR-TF2","Rio Pipo bog","AmeriFlux","CC-BY-4.0",-54.8269,-68.4549,60,"WET",393.9,572.9,1.45443005839045
"BR-CMT","Capuaba farm Mato Grosso","AmeriFlux","Legacy",-13.2875,-56.0882,427,"CRO",1213.5,2029.8,1.67268232385661
"BR-CST","Caatinga Serra Talhada","AmeriFlux","CC-BY-4.0",-7.9682,-38.3842,468,"DNF",1447.4,729.7,0.504145364101147
"BR-Cui","Micrometeorological studies project in Amazonian mangroves","AmeriFlux","Legacy",-0.6661,-47.2833,21,"WET",1380,2583.3,1.87195652173913
"BR-Ma2","Manaus - ZF2 K34","AmeriFlux","Legacy",-2.6091,-60.2093,130,"EBF",1154.5,2350,2.03551320918146
"BR-Npw","Northern Pantanal Wetland","AmeriFlux","CC-BY-4.0",-16.498,-56.412,120,"WSA",1297.7,1322.5,1.0191107343762
"BR-PRS","Para√≠so do Sul","AmeriFlux","Legacy",-29.744,-53.1503,NA,"CRO",1166.3,1526.6,1.30892566235102
"BR-Sa1","Santarem-Km67-Primary Forest","AmeriFlux","CC-BY-4.0",-2.8567,-54.9589,88,"EBF",1184,1861.7,1.57238175675676
"BR-Sa3","Santarem-Km83-Logged Forest","AmeriFlux","Legacy",-3.018,-54.9714,100,"EBF",1177,1849.1,1.57102803738318
"CA-ARB","Attawapiskat River Bog","AmeriFlux","CC-BY-4.0",52.695,-83.9452,90,"WET",469.6,624.3,1.32942930153322
"CA-ARF","Attawapiskat River Fen","AmeriFlux","CC-BY-4.0",52.7008,-83.955,88,"WET",469.6,624.3,1.32942930153322
"CA-BOU","Bouleau Peatland","AmeriFlux","CC-BY-4.0",50.5244,-63.2064,108,"WET",444.7,988.6,2.22307173375309
"CA-Ca1","British Columbia - 1949 Douglas-fir stand","AmeriFlux","CC-BY-4.0",49.8673,-125.3336,300,"ENF",649.2,1690,2.60320394331485
"CA-Ca2","British Columbia - Clearcut Douglas-fir stand (harvested winter 1999/2000)","AmeriFlux","CC-BY-4.0",49.8705,-125.2909,300,"ENF",696.1,1584.1,2.27567878178423
"CA-Ca3","British Columbia - Pole sapling Douglas-fir stand","AmeriFlux","CC-BY-4.0",49.5346,-124.9004,NA,"ENF",696.7,1571.8,2.25606430314339
"CA-Cbo","Ontario - Mixed Deciduous, Borden Forest Site","AmeriFlux","CC-BY-4.0",44.3167,-79.9333,120,"DBF",689.7,884.5,1.28244164129332
"CA-CF1","Churchill Fen Site 1","AmeriFlux","Legacy",58.6658,-93.83,16.5,"WET",305.8,453.3,1.48234139960759
"CA-CF2","Churchill Fen Site 2","AmeriFlux","Legacy",58.6658,-93.83,16.5,"WET",305.8,453.3,1.48234139960759
"CA-Cha","New Brunswick - Charlie Lake site 01 (immature balsam fir forest to be thinned in year 3)","AmeriFlux","CC-BY-4.0",45.8847,-67.3569,341,"MF",634.4,1126.7,1.77600882723834
"CA-DB2","Delta Burns Bog 2","AmeriFlux","CC-BY-4.0",49.119,-122.9951,4,"WET",763.2,1340.9,1.75694444444444
"CA-DBB","Delta Burns Bog","AmeriFlux","CC-BY-4.0",49.1293,-122.9849,4,"WET",767.6,1468.1,1.91258467952058
"CA-DL1","Daring Lake - Mixed Tundra","AmeriFlux","CC-BY-4.0",64.8689,-111.5748,425,"OSH",292.9,254.1,0.867531580744281
"CA-DL2","Daring Lake - Fen","AmeriFlux","CC-BY-4.0",64.8648,-111.5677,416,"WET",292.9,254.1,0.867531580744281
"CA-DSM","Delta Salt Marsh","AmeriFlux","CC-BY-4.0",49.0887,-122.8954,NA,"WET",766.4,1463.6,1.90970772442589
"CA-ER1","Elora Research Station","AmeriFlux","CC-BY-4.0",43.6405,-80.4123,370,"CRO",674.8,930.9,1.37951985773563
"CA-ER2","Elora Research Station","AmeriFlux","CC-BY-4.0",43.6419,-80.414,370,"CRO",674.8,930.9,1.37951985773563
"CA-Gro","Ontario - Groundhog River, Boreal Mixedwood Forest","AmeriFlux","Legacy",48.2167,-82.1556,340,"MF",551.3,741.7,1.34536549972792
"CA-HPC","Havikpak Creek","AmeriFlux","Legacy",68.3203,-133.5188,80,"ENF",346.4,217.8,0.628752886836028
"CA-KLP","Kinoje Lake Peatland","AmeriFlux","CC-BY-4.0",51.5902,-81.7684,71,"WET",496.8,660.5,1.32950885668277
"CA-Let","Alberta - Mixed Grass Prairie","AmeriFlux","Legacy",49.7093,-112.9402,960,"GRA",903.6,381.3,0.421978751660027
"CA-LP1","British Columbia - Mountain pine beetle-attacked lodgepole pine stand","AmeriFlux","CC-BY-4.0",55.1119,-122.8414,751,"ENF",561.1,710.9,1.26697558367492
"CA-LuM","Luther Marsh Wildlife Management Area","AmeriFlux","Legacy",43.9201,-80.4052,485,"WET",648.7,991.6,1.52859565284415
"CA-MA1","Manitoba Agricultural Site 1","AmeriFlux","CC-BY-4.0",50.1645,-97.8762,261,"CRO",627.8,539.9,0.859987257088245
"CA-MA2","Manitoba Agricultural Site 2","AmeriFlux","CC-BY-4.0",50.171,-97.8762,261,"CRO",622.4,538.8,0.865681233933162
"CA-MA3","Manitoba Agricultural Site 3","AmeriFlux","CC-BY-4.0",50.1774,-97.8686,261,"GRA",622.8,540.2,0.867373153500321
"CA-Man","Manitoba - Northern Old Black Spruce (former BOREAS Northern Study Area)","AmeriFlux","CC-BY-4.0",55.8796,-98.4808,259,"ENF",491.4,520.6,1.05942205942206
"CA-Mer","Ontario - Eastern Peatland, Mer Bleue","AmeriFlux","CC-BY-4.0",45.4094,-75.5186,70,"WET",647.2,958.1,1.48037700865266
"CA-MR3","Mattheis Ranch - E3 South","AmeriFlux","Legacy",50.8671,-111.9045,712,"GRA",829.9,326.5,0.393420894083625
"CA-MR5","Mattheis Ranch - E5 North","AmeriFlux","Legacy",50.9056,-111.8823,700,"GRA",834.6,323.7,0.38785046728972
"CA-Na1","New Brunswick - 1967 Balsam Fir - Nashwaak Lake Site 01 (Mature balsam fir forest)","AmeriFlux","CC-BY-4.0",46.4722,-67.1,341,"ENF",573.3,1169.5,2.03994418280133
"CA-NS1","UCI-1850 burn site","AmeriFlux","Legacy",55.8792,-98.4839,260,"ENF",491.4,520.6,1.05942205942206
"CA-NS2","UCI-1930 burn site","AmeriFlux","Legacy",55.9058,-98.5247,260,"ENF",491.8,522.3,1.06201708011387
"CA-NS3","UCI-1964 burn site","AmeriFlux","Legacy",55.9117,-98.3822,260,"ENF",489.4,525.2,1.07315079689416
"CA-NS4","UCI-1964 burn site wet","AmeriFlux","Legacy",55.9144,-98.3806,260,"ENF",489.4,525.2,1.07315079689416
"CA-NS5","UCI-1981 burn site","AmeriFlux","Legacy",55.8631,-98.485,260,"ENF",497,526.1,1.05855130784708
"CA-NS6","UCI-1989 burn site","AmeriFlux","Legacy",55.9167,-98.9644,244,"OSH",504.4,519.9,1.03072957969865
"CA-NS7","UCI-1998 burn site","AmeriFlux","Legacy",56.6358,-99.9483,297,"OSH",491.2,508.2,1.03460912052117
"CA-NS8","UCI-2003 burn site","AmeriFlux","Legacy",55.8981,-98.2161,274,"ENF",494.6,525.5,1.06247472705216
"CA-Oas","Saskatchewan - Western Boreal, Mature Aspen","AmeriFlux","CC-BY-4.0",53.6289,-106.1978,530,"DBF",605.6,477.2,0.787978863936592
"CA-Obs","Saskatchewan - Western Boreal, Mature Black Spruce","AmeriFlux","CC-BY-4.0",53.9872,-105.1178,628.94,"ENF",561.2,483.6,0.861724875267284
"CA-Ojp","Saskatchewan - Western Boreal, Mature Jack Pine","AmeriFlux","Legacy",53.9163,-104.692,579,"ENF",570.5,481.9,0.844697633654689
"CA-Qc2","Quebec - 1975 Harvested Black Spruce (HBS75)","AmeriFlux","Legacy",49.7598,-74.5711,NA,"MF",472.4,952.8,2.01693480101609
"CA-Qcu","Quebec - Eastern Boreal, Black Spruce/Jack Pine Cutover","AmeriFlux","Legacy",49.2671,-74.0365,392.3,"ENF",474.2,961.8,2.02825811893716
"CA-Qfo","Quebec - Eastern Boreal, Mature Black Spruce","AmeriFlux","CC-BY-4.0",49.6925,-74.3421,382,"ENF",471.2,968.5,2.05539049235993
"CA-RBM","Richmond Brackish Marsh","AmeriFlux","CC-BY-4.0",49.1313,-123.1964,NA,"WET",760.3,1176.1,1.54688938576878
"CA-RPn","Robinsons_Natural_Bog_NL","AmeriFlux","Legacy",48.2604,-58.6632,150,"OSH",466.7,1452.3,3.11184915363188
"CA-RPp","Robinsons_Peatland_Pasture_NL","AmeriFlux","Legacy",48.2632,-58.667,162,"OSH",460.8,1431.9,3.107421875
"CA-SCB","Scotty Creek Bog","AmeriFlux","Legacy",61.3089,-121.2984,280,"WET",471.4,430,0.912176495545185
"CA-SCC","Scotty Creek Landscape","AmeriFlux","Legacy",61.3079,-121.2992,285,"ENF",471.4,430,0.912176495545185
"CA-SF1","Saskatchewan - Western Boreal, forest burned in 1977","AmeriFlux","CC-BY-4.0",54.485,-105.8176,536,"ENF",566.3,501.4,0.88539643298605
"CA-SF2","Saskatchewan - Western Boreal, forest burned in 1989","AmeriFlux","CC-BY-4.0",54.2539,-105.8775,520,"ENF",580.3,495.4,0.853696363949681
"CA-SF3","Saskatchewan - Western Boreal, forest burned in 1998","AmeriFlux","CC-BY-4.0",54.0916,-106.0053,540,"OSH",586.4,492.1,0.83918826739427
"CA-SJ1","Saskatchewan - Western Boreal, Jack Pine forest harvested in 1994","AmeriFlux","Legacy",53.908,-104.656,580,"ENF",573.3,483.9,0.844060701203558
"CA-SJ2","Saskatchewan - Western Boreal, Jack Pine forest harvested in 2002","AmeriFlux","Legacy",53.945,-104.649,580,"ENF",570.5,485.7,0.851358457493427
"CA-SJ3","Saskatchewan - Western Boreal, Jack Pine forest harvested in 1975 (BOREAS Young Jack Pine)","AmeriFlux","Legacy",53.8758,-104.6453,NA,"ENF",573.3,483.9,0.844060701203558
"CA-SMC","Smith Creek","AmeriFlux","Legacy",63.1534,-123.2522,150,"ENF",443.2,355.8,0.802797833935018
"CA-TP1","Ontario - Turkey Point 2002 Plantation White Pine","AmeriFlux","CC-BY-4.0",42.6609,-80.5595,265,"ENF",746.5,994.2,1.33181513730743
"CA-TP2","Ontario - Turkey Point 1989 Plantation White Pine","AmeriFlux","CC-BY-4.0",42.7744,-80.4588,212,"ENF",736.3,975.5,1.32486758114899
"CA-TP3","Ontario - Turkey Point 1974 Plantation White Pine","AmeriFlux","CC-BY-4.0",42.7068,-80.3483,184,"ENF",748.2,974.5,1.30245923549853
"CA-TP4","Ontario - Turkey Point 1939 Plantation White Pine","AmeriFlux","CC-BY-4.0",42.7102,-80.3574,184,"ENF",737,980.1,1.32985074626866
"CA-TPD","Ontario - Turkey Point Mature Deciduous","AmeriFlux","CC-BY-4.0",42.6353,-80.5577,260,"DBF",746.5,994.2,1.33181513730743
"CA-TVC","Trail Valley Creek","AmeriFlux","Legacy",68.7462,-133.5017,85,"OSH",306.4,193.4,0.631201044386423
"CA-WP1","Alberta - Western Peatland - LaBiche River,Black Spruce/Larch Fen","AmeriFlux","Legacy",54.9538,-112.467,540,"WET",614.7,466.9,0.759557507727347
"CA-WP2","Alberta - Western Peatland - Poor Fen (Sphagnum moss)","AmeriFlux","Legacy",55.5375,-112.3343,NA,"WET",571.1,479.8,0.840133076518998
"CA-WP3","Alberta - Western Peatland - Rich Fen  (Carex)","AmeriFlux","Legacy",54.47,-113.32,NA,"WET",598.6,477.9,0.798362846642165
"CL-ACF","Alerce Costero Forest","AmeriFlux","CC-BY-4.0",-40.1726,-73.4439,822,"ENF",699.9,1888.8,2.69867123874839
"CL-SDF","Senda Darwin Forest","AmeriFlux","CC-BY-4.0",-41.883,-73.676,50,"EBF",616.7,2325.6,3.7710394032755
"CL-SDP","Senda Darwin Peatland","AmeriFlux","CC-BY-4.0",-41.879,-73.666,50,"WET",619.4,2275.2,3.67323216015499
"CO-GV1","Guatavita Station 1","AmeriFlux","Legacy",4.9139,-73.7365,3001,"WET",982.9,1772.8,1.80364228303998
"CO-GV2","Guatavita Station 2","AmeriFlux","Legacy",4.9168,-73.7429,3002,"WET",951.8,1903,1.99936961546543
"CR-Dos","La Selva T2","AmeriFlux","Legacy",10.4322,-84.0106,40,"EBF",1463.2,3722.2,2.5438764352105
"CR-Fsc","Filadelfia sugar cane cropland","AmeriFlux","Legacy",10.4189,-85.4732,18,"CRO",1777.2,1767.5,0.994541976142246
"CR-Lse","La Selva","AmeriFlux","Legacy",10.4233,-84.0211,100,"EBF",1463.2,3722.2,2.5438764352105
